Summary — all-in price per person vs ceiling,,,
,,,
"Prices before any organiser charge, at the airfare midpoint and 2 sharing. Organiser charge under Approach 2 shown separately. Every price rests on advertised or inferred figures; none is a quote.",,,
,,,
"Cozumel, 6 nights (Sun 13 – Sat 19 Dec)",,,
,Certified,Beginner,Advanced
All-in per person,2201.33836331979,2247.96169471851,2894.33836331979
Ceiling,2000,2300,2000
Headroom,-201.338363319791,52.0383052814859,-894.338363319791
Organiser charge per head (Approach 2) at 20 / 30 / 40,74.8421052631579,49.0344827586207,36.4615384615385
"5-night version, all-in per person",2078.35113174695,2022.97446314568,2771.35113174695
"Core only (excl. meals, tips, insurance), 6 nights",1822.33836331979,1868.96169471851,2515.33836331979
,,,
"Egypt, Marsa Shagra (Sat 2 – Fri 8 Jan)",,,
,Certified,Beginner,Advanced
"All-in per person, Royal Tent, via Hurghada",2455.8505,2526.9335,2841.0745
"All-in per person, Deluxe Chalet, via Marsa Alam",2612.921,2684.004,2998.145
Ceiling,2700,2700,2700
Headroom (Royal Tent),244.1495,173.0665,-141.0745
Organiser charge per head (Approach 2) at 15 / 20 / 25,108.347642857143,79.8351052631579,63.2027916666667
"Core only (excl. incidentals, tips, insurance), Royal Tent",2211.8505,2282.9335,2597.0745
,,,
Thanksgiving (10 people),,,
,25–29 Nov,19–24 Nov,
"Puerto Rico, all-in per person",1720,1988,
"Tiger Beach, all-in per person",2366.8,2980.7,
Ceiling,1500,1500,
Puerto Rico headroom,-220,-488,
Tiger Beach extra vs Puerto Rico,646.8,992.7,
"Puerto Rico core only (excl. meals, tips, insurance)",1411,1644,
