Summary — all-in price per person vs ceiling,,,
,,,
"Prices before any organiser charge, at the airfare midpoint and 2 sharing. Organiser charge under Approach 2 shown separately. Every price rests on advertised or inferred figures; none is a quote.",,,
,,,
"Cozumel, 6 nights (Sun 13 – Sat 19 Dec)",,,
,Certified,Beginner,Advanced
All-in per person,2245.24434126524,2270.30528148578,2936.24434126524
Ceiling,2000,2300,2000
Headroom,-245.244341265235,29.6947185142194,-936.244341265235
Organiser charge per head (Approach 2) at 20 / 30 / 40,76.1578947368421,49.8965517241379,37.1025641025641
"5-night version, all-in per person",2118.47591410331,2033.53685432385,2809.47591410331
"Core only (excl. meals, tips, insurance), 6 nights",1866.24434126524,1891.30528148578,2557.24434126524
,,,
"Egypt, Marsa Shagra (Sat 2 – Sat 9 Jan)",,,
,Certified,Beginner,Advanced
"All-in per person, Royal Tent, via Hurghada",2577.475,2727.6665,2962.699
"All-in per person, Deluxe Chalet, via Marsa Alam",2774.673,2924.8645,3159.897
Ceiling,2700,2700,2700
Headroom (Royal Tent),122.525,-27.6665000000003,-262.699
Organiser charge per head (Approach 2) at 15 / 20 / 25,110.647464285714,81.5297105263158,64.5443541666667
"Core only (excl. incidentals, tips, insurance), Royal Tent",2318.475,2468.6665,2703.699
,,,
Thanksgiving (10 people),,,
,25–29 Nov,19–24 Nov,
"Puerto Rico, all-in per person",1720,1988,
"Tiger Beach, all-in per person",2366.8,2980.7,
Ceiling,1500,1500,
Puerto Rico headroom,-220,-488,
Tiger Beach extra vs Puerto Rico,646.8,992.7,
"Puerto Rico core only (excl. meals, tips, insurance)",1411,1644,
